# encoder and dsp items the pipeline never calls. Generated by
# tools/dead_code_ledger.py --write; checked in CI. Columns: crate, module,
# file, kind (rustc's words), item, tests (yes = only the parity tests call
# it; no = nothing does). 809 items in 53 modules, 136 with no caller at all.
encoder	port_enc_mode_config	port_enc_mode_config/tail.rs	constant	D67_PRED	yes
encoder	port_enc_mode_config	port_enc_mode_config/tail.rs	constant	DC_PRED	yes
encoder	port_enc_mode_config	port_enc_mode_config/tail.rs	constant	PAETH_PRED	yes
encoder	port_enc_mode_config	port_enc_mode_config/tail.rs	constant	PLANE_TYPES	yes
encoder	port_enc_mode_config	port_enc_mode_config/tail.rs	constant	RDDIV_BITS	no
encoder	port_enc_mode_config	port_enc_mode_config/tail.rs	constant	V_PRED	yes
encoder	port_enc_mode_config	port_enc_mode_config/tail.rs	function	av1_is_directional_mode	yes
encoder	port_enc_mode_config	port_enc_mode_config/tail.rs	function	cdef_recon_level_default	yes
encoder	port_enc_mode_config	port_enc_mode_config/tail.rs	function	get_sb_tpl_intra_stats	yes
encoder	port_enc_mode_config	port_enc_mode_config/tail.rs	function	is_intra_mode	yes
encoder	port_enc_mode_config	port_enc_mode_config/tail.rs	function	set_sg_filter_ctrls	yes
encoder	port_enc_mode_config	port_enc_mode_config/tail.rs	struct	SbTplIntraStats	yes
encoder	port_enc_mode_config	port_enc_mode_config/tail.rs	struct	SgFilterCtrls	yes
encoder	port_enc_mode_config	port_enc_mode_config/tail.rs	struct	TplIntraStatsInputs	yes
encoder	port_enc_mode_config	port_enc_mode_config/tail.rs	struct	TplSrcBlock	yes
encoder	port_enc_mode_config	port_enc_mode_config/tail.rs	unused import	svtav1_types::math::shift_u32::round_power_of_two_i64 as round_power_of_two	yes
encoder	port_entropy_inter	port_entropy_inter/compound.rs	constant	COMPOUND_TYPES	yes
encoder	port_entropy_inter	port_entropy_inter/framesize.rs	constant	INVALID_ORDER_HINT	yes
encoder	port_entropy_inter	port_entropy_inter/framesize.rs	function	get_ref_order_hint	yes
encoder	port_entropy_inter	port_entropy_inter/framesize.rs	function	write_frame_size_with_refs	yes
encoder	port_entropy_inter	port_entropy_inter/framesize.rs	struct	FrameSizeRefs	yes
encoder	port_entropy_inter	port_entropy_inter/framesize.rs	struct	RefPic	yes
encoder	port_entropy_inter	port_entropy_inter/gm.rs	constant	SGRPROJ_PARAMS_BITS	yes
encoder	port_entropy_inter	port_entropy_inter/gm.rs	constant	SGRPROJ_PRJ_BITS	yes
encoder	port_entropy_inter	port_entropy_inter/gm.rs	constant	SGRPROJ_PRJ_MAX0	yes
encoder	port_entropy_inter	port_entropy_inter/gm.rs	constant	SGRPROJ_PRJ_MAX1	yes
encoder	port_entropy_inter	port_entropy_inter/gm.rs	constant	SGRPROJ_PRJ_MIN0	yes
encoder	port_entropy_inter	port_entropy_inter/gm.rs	constant	SGRPROJ_PRJ_MIN1	yes
encoder	port_entropy_inter	port_entropy_inter/gm.rs	constant	SGRPROJ_PRJ_SUBEXP_K	yes
encoder	port_entropy_inter	port_entropy_inter/gm.rs	function	write_sgrproj_filter	yes
encoder	port_entropy_inter	port_entropy_inter/gm.rs	struct	SgrprojInfo	yes
encoder	port_entropy_inter	port_entropy_inter/metadata.rs	enum	MetadataError	yes
encoder	port_entropy_inter	port_entropy_inter/metadata.rs	enum	MetadataType	yes
encoder	port_entropy_inter	port_entropy_inter/metadata.rs	function	add_trailing_bits	yes
encoder	port_entropy_inter	port_entropy_inter/metadata.rs	function	write_metadata_obus	yes
encoder	port_entropy_inter	port_entropy_inter/metadata.rs	function	write_obu_metadata	yes
encoder	port_entropy_inter	port_entropy_inter/metadata.rs	struct	Metadata	yes
encoder	port_entropy_inter	port_entropy_inter/mod.rs	method	is_intrabc_block	no
encoder	port_entropy_inter	port_entropy_inter/modes.rs	constant	DRL_MODE_CONTEXTS	no
encoder	port_entropy_inter	port_entropy_inter/modes.rs	constant	GLOBALMV_MODE_CONTEXTS	no
encoder	port_entropy_inter	port_entropy_inter/modes.rs	constant	INTRA_MODES	yes
encoder	port_entropy_inter	port_entropy_inter/modes.rs	constant	MAX_ANGLE_DELTA	yes
encoder	port_entropy_inter	port_entropy_inter/modes.rs	function	encode_intra_luma_mode_nonkey	yes
encoder	port_entropy_inter	port_entropy_inter/modes.rs	function	write_is_inter	yes
encoder	port_entropy_inter	port_entropy_inter/neighbors.rs	constant	MI_SIZE	yes
encoder	port_entropy_inter	port_entropy_inter/neighbors.rs	constant	MI_SIZE_LOG2	no
